baseClass,equivalentClass
UMLS:C1335339,DOID:1355
UMLS:C0022672,DOID:12556
UMLS:C0154835,DOID:7736
UMLS:C0751871,DOID:438
UMLS:C0004135,DOID:12704
UMLS:C0009769,DOID:2457
UMLS:C0152097,DOID:10481
UMLS:C0019284,DOID:3827
UMLS:C0035344,DOID:13025
UMLS:C1332848,DOID:5261
UMLS:C0017105,DOID:9159
UMLS:C0156270,DOID:7127
UMLS:C0042974,DOID:12531
UMLS:C1135873,DOID:4320
UMLS:C0227791,DOID:3767
UMLS:C0006840,DOID:1508
UMLS:C1288279,DOID:12168
UMLS:C0037052,DOID:13884
UMLS:C0007644,DOID:13074
UMLS:C0002390,DOID:841
UMLS:C1519487,DOID:7460
UMLS:C1510789,DOID:4294
UMLS:C0007134,DOID:4450
UMLS:C0003872,DOID:9008
UMLS:C0233705,DOID:602
UMLS:C0154758,DOID:2537
UMLS:C0545047,DOID:7334
UMLS:C1332574,DOID:3351
UMLS:C0334626,DOID:8651
UMLS:C1516418,DOID:7598
UMLS:C0034888,DOID:9307
UMLS:C1332984,DOID:6494
UMLS:C0206718,DOID:4163
UMLS:C0700367,DOID:4794
UMLS:C0242420,DOID:6929
UMLS:C1332215,DOID:7788
UMLS:C0153188,DOID:8200
UMLS:C0238378,DOID:2796
UMLS:C0156291,DOID:12355
UMLS:C1304514,DOID:9601
UMLS:C1333474,DOID:6562
UMLS:C0042568,DOID:13003
UMLS:C0154071,DOID:8800
UMLS:C0033806,DOID:4184
UMLS:C0029785,DOID:1529
UMLS:C1334921,DOID:10813
UMLS:C1332514,DOID:7922
UMLS:C0019537,DOID:3230
UMLS:C0271353,DOID:562
UMLS:C0279931,DOID:7488
UMLS:C0024901,DOID:3665
UMLS:C0012102,DOID:1219
UMLS:C1334371,DOID:5288
UMLS:C0748012,DOID:13206
UMLS:C0002726,DOID:9120
UMLS:C0158444,DOID:11760
UMLS:C0154209,DOID:14336
UMLS:C0079153,DOID:4603
UMLS:C1333158,DOID:6197
UMLS:C1511204,DOID:7694
UMLS:C0034882,DOID:1285
UMLS:C0039483,DOID:13375
UMLS:C0012628,DOID:5804
UMLS:C0153615,DOID:11817
UMLS:C0153362,DOID:8850
UMLS:C0267841,DOID:2828
UMLS:C0026948,DOID:8691
UMLS:C1332912,DOID:5303
UMLS:C0162674,DOID:12558
UMLS:C0152953,DOID:13310
UMLS:C0033038,DOID:13709
UMLS:C0264324,DOID:14224
UMLS:C0162670,DOID:699
UMLS:C0025202,DOID:1909
UMLS:C0221757,DOID:13372
UMLS:C0020565,DOID:10688
UMLS:C1519936,DOID:6613
UMLS:C0154853,DOID:2006
UMLS:C0349667,DOID:3017
UMLS:C1377904,DOID:7928
UMLS:C0343065,DOID:743
UMLS:C1321683,DOID:11684
UMLS:C0279700,DOID:7609
UMLS:C0155142,DOID:11197
UMLS:C0152095,DOID:11665
UMLS:C1263897,DOID:1201
UMLS:C0001126,DOID:14219
UMLS:C0016395,DOID:2120
UMLS:C1328043,DOID:3281
UMLS:C1335979,DOID:5926
UMLS:C0019147,DOID:12550
UMLS:C0268575,DOID:14753
UMLS:C0017327,DOID:2347
UMLS:C0010276,DOID:3840
UMLS:C0034931,DOID:1811
UMLS:C0039584,DOID:2519
UMLS:C1457897,DOID:14177
UMLS:C0338418,DOID:5222
UMLS:C1334647,DOID:7910
UMLS:C0022575,DOID:12895
UMLS:C1332972,DOID:7522
UMLS:C0027858,DOID:2001
UMLS:C0154895,DOID:9811
UMLS:C1512739,DOID:7972
UMLS:C0854486,DOID:5395
UMLS:C0155080,DOID:11581
UMLS:C0023264,DOID:3652
UMLS:C0017609,DOID:1687
UMLS:C0029850,DOID:1673
UMLS:C0042979,DOID:10834
UMLS:C0752282,DOID:422
UMLS:C0155084,DOID:12125
UMLS:C0003615,DOID:8337
UMLS:C0017411,DOID:229
UMLS:C0018995,DOID:2352
UMLS:C1333996,DOID:6102
UMLS:C0276926,DOID:1394
UMLS:C0149925,DOID:5409
UMLS:C0025530,DOID:884
UMLS:C0334424,DOID:10047
UMLS:C0238197,DOID:1738
UMLS:C0349502,DOID:13691
UMLS:C1334749,DOID:5821
UMLS:C0341766,DOID:2139
UMLS:C0154059,DOID:9095
UMLS:C1516475,DOID:8083
UMLS:C0311262,DOID:8633
UMLS:C0334374,DOID:2682
UMLS:C0155496,DOID:13490
UMLS:C0854906,DOID:955
UMLS:C0017551,DOID:2739
UMLS:C1384416,DOID:7689
UMLS:C0220754,DOID:856
UMLS:C0033117,DOID:9286
UMLS:C0241593,DOID:13812
UMLS:C0238196,DOID:4907
UMLS:C0152271,DOID:10747
UMLS:C0156273,DOID:11353
UMLS:C0241983,DOID:490
UMLS:C1335687,DOID:4053
UMLS:C1335965,DOID:8025
UMLS:C0152112,DOID:14555
UMLS:C0031069,DOID:2987
UMLS:C0037023,DOID:10303
UMLS:C0012739,DOID:11247
UMLS:C0155420,DOID:3728
UMLS:C0010631,DOID:3111
UMLS:C1334673,DOID:10660
UMLS:C0398625,DOID:3756
UMLS:C0011882,DOID:9743
UMLS:C0020224,DOID:8488
UMLS:C0040997,DOID:12098
UMLS:C0036202,DOID:11335
UMLS:C1266178,DOID:4856
UMLS:C0155918,DOID:10031
UMLS:C1266087,DOID:7729
UMLS:C0205645,DOID:4929
UMLS:C0002066,DOID:9270
UMLS:C0017653,DOID:2431
UMLS:C1511193,DOID:3710
UMLS:C0037661,DOID:4430
UMLS:C0340177,DOID:10321
UMLS:C0034155,DOID:10772
UMLS:C1520069,DOID:5313
UMLS:C0349557,DOID:2025
UMLS:C0162672,DOID:310
UMLS:C0153553,DOID:13972
UMLS:C1260402,DOID:11786
UMLS:C1334297,DOID:3216
UMLS:C1519850,DOID:13951
UMLS:C0920350,DOID:7188
UMLS:C1332640,DOID:7030
UMLS:C0153417,DOID:10548
UMLS:C0220693,DOID:14725
UMLS:C0027073,DOID:431
UMLS:C0238016,DOID:6316
UMLS:C0020295,DOID:11111
UMLS:C0151620,DOID:9427
UMLS:C0032633,DOID:9230
UMLS:C0028756,DOID:11981
UMLS:C1263744,DOID:4782
UMLS:C0007196,DOID:397
UMLS:C1332965,DOID:4773
UMLS:C1332954,DOID:6654
UMLS:C0862030,DOID:7061
UMLS:C0858252,DOID:3458
UMLS:C0272203,DOID:4660
UMLS:C1112662,DOID:5851
UMLS:C1333411,DOID:6284
UMLS:C0279014,DOID:6053
UMLS:C0015424,DOID:2173
UMLS:C0158332,DOID:12223
UMLS:C0027888,DOID:2477
UMLS:C0234398,DOID:5691
UMLS:C0282577,DOID:5212
UMLS:C0220658,DOID:14705
UMLS:C0338473,DOID:2367
UMLS:C0013528,DOID:4188
UMLS:C0158168,DOID:9898
UMLS:C0009400,DOID:4885
UMLS:C0156164,DOID:11223
UMLS:C1333042,DOID:7441
UMLS:C0346117,DOID:3939
UMLS:C0029191,DOID:2518
UMLS:C0029513,DOID:5119
UMLS:C0702143,DOID:12445
UMLS:C0153490,DOID:3924
UMLS:C1336007,DOID:5272
UMLS:C1266113,DOID:5900
UMLS:C0271686,DOID:11503
UMLS:C0334497,DOID:2639
UMLS:C0494040,DOID:14019
UMLS:C0152250,DOID:14392
UMLS:C0029640,DOID:8448
UMLS:C0206723,DOID:2997
UMLS:C0156265,DOID:11354
UMLS:C0013374,DOID:11702
UMLS:C1332883,DOID:6019
UMLS:C0155265,DOID:12362
UMLS:C0879606,DOID:6244
UMLS:C0344460,DOID:297
UMLS:C0153479,DOID:14546
UMLS:C1518725,DOID:7013
UMLS:C0038987,DOID:2664
UMLS:C0855211,DOID:5842
UMLS:C0940607,DOID:10655
UMLS:C0403414,DOID:14064
UMLS:C0015029,DOID:9507
UMLS:C0398623,DOID:2452
UMLS:C0014117,DOID:12929
UMLS:C0155135,DOID:1436
UMLS:C0085084,DOID:231
UMLS:C1518361,DOID:6065
UMLS:C0279672,DOID:3702
UMLS:C1332591,DOID:3374
UMLS:C0153377,DOID:8635
UMLS:C0006666,DOID:4734
UMLS:C1334210,DOID:6993
UMLS:C0041228,DOID:10112
UMLS:C0011813,DOID:9565
UMLS:C0037293,DOID:6873
UMLS:C1518722,DOID:6278
UMLS:C1335099,DOID:5414
UMLS:C1332977,DOID:7757
UMLS:C1333176,DOID:2286
UMLS:C0346169,DOID:3269
UMLS:C0001175,DOID:635
UMLS:C0162281,DOID:11547
UMLS:C0156328,DOID:12265
UMLS:C0595989,DOID:2600
UMLS:C0011633,DOID:10223
UMLS:C1314968,DOID:8503
UMLS:C0154157,DOID:1458
UMLS:C0339572,DOID:14548
UMLS:C0006144,DOID:10350
UMLS:C0007274,DOID:3410
UMLS:C0034345,DOID:3649
UMLS:C0034951,DOID:9835
UMLS:C1333455,DOID:10187
UMLS:C0600427,DOID:9975
UMLS:C0854165,DOID:2458
UMLS:C0013069,DOID:6406
UMLS:C0699885,DOID:4007
UMLS:C0032298,DOID:3241
UMLS:C0155016,DOID:13909
UMLS:C0154698,DOID:10968
UMLS:C1384404,DOID:5507
UMLS:C1334362,DOID:4321
UMLS:C0346166,DOID:6211
UMLS:C0236773,DOID:14042
UMLS:C0152136,DOID:13544
UMLS:C1304511,DOID:486
UMLS:C1266159,DOID:3593
UMLS:C0751587,DOID:13945
UMLS:C1334373,DOID:4688
UMLS:C0155388,DOID:379
UMLS:C1266038,DOID:5468
UMLS:C0152223,DOID:9306
UMLS:C0035404,DOID:4175
UMLS:C0242387,DOID:2908
UMLS:C1266140,DOID:7571
UMLS:C1333065,DOID:5763
UMLS:C0279702,DOID:4467
UMLS:C0011649,DOID:2658
UMLS:C0206640,DOID:180
UMLS:C0334491,DOID:2667
UMLS:C0155178,DOID:1895
UMLS:C0013291,DOID:1737
UMLS:C0029411,DOID:14283
UMLS:C0023055,DOID:2598
UMLS:C1335178,DOID:6408
UMLS:C1332248,DOID:3693
UMLS:C0349649,DOID:3319
UMLS:C0156268,DOID:1680
UMLS:C0744421,DOID:4784
UMLS:C0153066,DOID:10842
UMLS:C0936248,DOID:2602
UMLS:C0152025,DOID:1389
UMLS:C0153428,DOID:10153
UMLS:C1266092,DOID:3280
UMLS:C0153434,DOID:261
UMLS:C0014474,DOID:4844
UMLS:C0375275,DOID:807
UMLS:C0854723,DOID:8501
UMLS:C0020607,DOID:12926
UMLS:C1368903,DOID:2660
UMLS:C1333321,DOID:7959
UMLS:C0016053,DOID:631
UMLS:C0024439,DOID:2565
UMLS:C0270851,DOID:14264
UMLS:C0005859,DOID:2717
UMLS:C0011644,DOID:419
UMLS:C0346151,DOID:7578
UMLS:C0271384,DOID:11771
UMLS:C1519320,DOID:4304
UMLS:C0029594,DOID:2345
UMLS:C0158976,DOID:11452
UMLS:C1334984,DOID:5907
UMLS:C0278873,DOID:4813
UMLS:C0154564,DOID:535
UMLS:C0700345,DOID:2272
UMLS:C0007760,DOID:2786
UMLS:C0035469,DOID:2409
UMLS:C0346867,DOID:11748
UMLS:C0155244,DOID:13653
UMLS:C0279659,DOID:3495
UMLS:C0272375,DOID:3755
UMLS:C0007785,DOID:3526
UMLS:C0162569,DOID:5230
UMLS:C0023786,DOID:12802
UMLS:C1335508,DOID:3251
UMLS:C0027697,DOID:10952
UMLS:C0001247,DOID:4974
UMLS:C0280746,DOID:2146
UMLS:C1456268,DOID:13575
UMLS:C0398695,DOID:7263
UMLS:C0206672,DOID:3893
UMLS:C0023240,DOID:10458
UMLS:C0392550,DOID:10969
UMLS:C0340186,DOID:10330
UMLS:C0155224,DOID:949
UMLS:C0002736,DOID:332
